Project ID,Title,Client,Year,Contract Value (Rs.)
project-cfhc-kirinda-sand-removal,Removal and Leveling of Accumulated Sea Sand at Kirinda Fishery Harbour,Ceylon Fishery Harbours Corporation,2026,
project-2,Procurement of Construction of Boat Launching Ramp at Beruwala,Ministry of Fisheries,2026,
project-6,Reconstruction of Bridge No. 4/1 on Horawela - Pelawatta - Pitigala Road (Balance Work),Road Development Authority,2026,
project-10,Reconstruction of Proposed Improvement and Rehabilitation of Kurikadduvan Jetty (Approach Road),Road Development Authority,2025,
project-11,Rehabilitation of Bridge No. 27/1 on Jaffna - Manipay - Karainagar Road (AB017),Road Development Authority,2026,
project-18,Reconstruction of Bridge No. 12/1 on Paranthan - Karachchi - Mullaitivu Road (A035) Balance Work,Road Development Authority,2026,
project-23,Maho to Anuradhapura Railway Line Track Rehabilitation & Ancillary Works,IRCON International Limited,2023,
project-92,Landslide Mitigation Measures at 05 Locations in Nuwara Eliya District (RLVMMP),Ministry of Defence / NBRO,2025,
project-93,Landslide Mitigation Measures at 05 Locations in Kegalle and Rathnapura Districts (RLVMMP),Ministry of Defence / NBRO,2025,
project-94,"Landslide Mitigation Measures at 06 Location in Ratnapura District (Site No. 62,65,66,70,71,106) Under Package 6C of Reduction of Landslide Vulnerability by Mitigation Measures Project (RLVMMP)",Ministry of Defence / NBRO,2025,
project-95,"Landslide Mitigation Measures at 02 Locations in Matara & Hambantota Districts (Site No. 104, 151) Under Package – 06F (RLVMMP)",Ministry of Defence - Disaster Management Division,2024,
project-96,Reactivation and Reconstruction of Myliddy Fishery Harbour in Northern Province – Phase II,State Ministry of Fishery Harbour Development,2021,
project-97,Widening & Redecking of Bridge No. 25/3 on Nagoda – Kalwellawa – Bellapitiya Road (B 304) – (Balance Work),Road Development Authority,2025,
project-98,Emergency Reconstruction of Northern Railway Line Damaged by Cyclone Ditwah (Maho to Omanthai),IRCON International Limited (Government of India Undertaking),2026,
project-99,Emergency Reconstruction of Northern Railway Line Damaged by Cyclone Ditwah (Medawachchiya to Talai Mannar),IRCON International Limited (Government of India Undertaking),2026,
project-29,Central Expressway Project Section 3 (Pothuhera to Galagedara),Road Development Authority,2025,
project-30,Rehabilitation of 30.12km Rural Roads in Rathnapura,Road Development Authority,2025,
project-31,Rehabilitation of 20.80 Km Rural Roads in Palindanuwara (Kalutara),Road Development Authority,2025,
project-32,Construction of Gandara Fishery Harbour,Ministry of Fisheries,2025,
project-91,"Second Integrated Road Investment Program - Rehabilitation, Improvement and Maintenance of 23.96 Km Rural Roads in Badulla District",Road Development Authority,2024,
project-33,Rehabilitation of 26.05 Km of Rural Roads in Kalutara District,Road Development Authority,2024,
project-34,Rectification of Unstable Slope at NIFS Kandy,Ministry of Defence / NBRO,2024,
project-35,RLVMMP Landslide Mitigation at Nursing Training School Kandy,Ministry of Defence,2024,
project-36,Anuradhapura to Vavuniya Railway Track Rehabilitation,IRCON International Limited,2023,
project-37,"Landslide Mitigation in 32 Sites (Kalutara, Rathnapura, Matara)",Ministry of Defence,2023,
project-38,Landslide Mitigation on Hatton Maskeliya - Delhouse Road,Ministry of Defence,2023,
project-39,Landslide Mitigation Along Railway Main Line (22 Sites),Ministry of Defence,2023,
project-40,Rehabilitation of Kalmadu Scheme Headworks,Ministry of Irrigation - IWWRMP (Kilinochchi Range),2023,
project-41,Second Integrated Road Investment Program - Mannar District (49.01 Km),Road Development Authority,2022,
project-42,Second Integrated Road Investment Program - Kilinochchi (53.60 Km),Road Development Authority,2022,
